question,context,true_answers,predicted_answer
پایتخت اسپانیا کجاست؟,باشگاه فوتبال رئال مادرید یک باشگاه حرفه‌ای فوتبال است که در مادرید، پایتخت اسپانیا قرار دارد. رئال موفق‌ترین تیم تاریخ فوتبال اسپانیا و موفق‌ترین تیم تاریخ فوتبال اروپا و موفق‌ترین تیم فوتبال سدهٔ ۲۰ میلادی به انتخاب فیفا است. آن‌ها دارای رکورد ۳۴ بار قهرمانی در لالیگا، ۱۹ قهرمانی در کوپا دل ری (جام حذفی)، ۱۰ سوپرکاپ اسپانیا، ۱۳ قهرمانی در لیگ قهرمانان اروپا، ۲ جام یوفا، ۴ سوپرکاپ اروپا و ۴ قهرمانی در جام باشگاه‌های جهان هستند. رئال مادرید رکورددار قهرمانی در لیگ قهرمانان اروپا با ۱۳ قهرمانی و جام باشگاه های جهان با ۴ قهرمانی است. همچنین رئال مادرید برنده بهترین باشگاه قرن از سوی فیفا شده‌است. همچنین کلمهٔ رئال در زبان اسپانیایی، به معنی «سلطنتی» است، این لقب را شاه آلفونسو سیزدهم در سال ۱۹۲۰ بر این تیم نهاد. همچنین در همان سال، شکل یک تاج نیز بر روی آرم این باشگاه قرار گرفت. رئال مادرید سال‌هاست که در لالیگا، از تیم‌های قدرتمند محسوب می‌شود و رقیب اصلی این تیم نیز، بارسلونا است. از نظر درآمد، رئال مادرید با ۵۵۷ میلیون یورو درآمد در فصل ۱۵–۲۰۱۴ در صدر پردرآمدترین باشگاه‌های فوتبال جهان بوده‌است.,"['مادرید', 'مادرید']",در مادرید
رئال مادرید چند بار در لیگ قهرمانان اروپا به عنوان قهرمانی رسیده؟,باشگاه فوتبال رئال مادرید یک باشگاه حرفه‌ای فوتبال است که در مادرید، پایتخت اسپانیا قرار دارد. رئال موفق‌ترین تیم تاریخ فوتبال اسپانیا و موفق‌ترین تیم تاریخ فوتبال اروپا و موفق‌ترین تیم فوتبال سدهٔ ۲۰ میلادی به انتخاب فیفا است. آن‌ها دارای رکورد ۳۴ بار قهرمانی در لالیگا، ۱۹ قهرمانی در کوپا دل ری (جام حذفی)، ۱۰ سوپرکاپ اسپانیا، ۱۳ قهرمانی در لیگ قهرمانان اروپا، ۲ جام یوفا، ۴ سوپرکاپ اروپا و ۴ قهرمانی در جام باشگاه‌های جهان هستند. رئال مادرید رکورددار قهرمانی در لیگ قهرمانان اروپا با ۱۳ قهرمانی و جام باشگاه های جهان با ۴ قهرمانی است. همچنین رئال مادرید برنده بهترین باشگاه قرن از سوی فیفا شده‌است. همچنین کلمهٔ رئال در زبان اسپانیایی، به معنی «سلطنتی» است، این لقب را شاه آلفونسو سیزدهم در سال ۱۹۲۰ بر این تیم نهاد. همچنین در همان سال، شکل یک تاج نیز بر روی آرم این باشگاه قرار گرفت. رئال مادرید سال‌هاست که در لالیگا، از تیم‌های قدرتمند محسوب می‌شود و رقیب اصلی این تیم نیز، بارسلونا است. از نظر درآمد، رئال مادرید با ۵۵۷ میلیون یورو درآمد در فصل ۱۵–۲۰۱۴ در صدر پردرآمدترین باشگاه‌های فوتبال جهان بوده‌است.,"['۱۳', '۱۳']",۱۳ قهرمانی
معنی واژه رئال به اسپانیایی چیست؟,باشگاه فوتبال رئال مادرید یک باشگاه حرفه‌ای فوتبال است که در مادرید، پایتخت اسپانیا قرار دارد. رئال موفق‌ترین تیم تاریخ فوتبال اسپانیا و موفق‌ترین تیم تاریخ فوتبال اروپا و موفق‌ترین تیم فوتبال سدهٔ ۲۰ میلادی به انتخاب فیفا است. آن‌ها دارای رکورد ۳۴ بار قهرمانی در لالیگا، ۱۹ قهرمانی در کوپا دل ری (جام حذفی)، ۱۰ سوپرکاپ اسپانیا، ۱۳ قهرمانی در لیگ قهرمانان اروپا، ۲ جام یوفا، ۴ سوپرکاپ اروپا و ۴ قهرمانی در جام باشگاه‌های جهان هستند. رئال مادرید رکورددار قهرمانی در لیگ قهرمانان اروپا با ۱۳ قهرمانی و جام باشگاه های جهان با ۴ قهرمانی است. همچنین رئال مادرید برنده بهترین باشگاه قرن از سوی فیفا شده‌است. همچنین کلمهٔ رئال در زبان اسپانیایی، به معنی «سلطنتی» است، این لقب را شاه آلفونسو سیزدهم در سال ۱۹۲۰ بر این تیم نهاد. همچنین در همان سال، شکل یک تاج نیز بر روی آرم این باشگاه قرار گرفت. رئال مادرید سال‌هاست که در لالیگا، از تیم‌های قدرتمند محسوب می‌شود و رقیب اصلی این تیم نیز، بارسلونا است. از نظر درآمد، رئال مادرید با ۵۵۷ میلیون یورو درآمد در فصل ۱۵–۲۰۱۴ در صدر پردرآمدترین باشگاه‌های فوتبال جهان بوده‌است.,"['سلطنتی', 'سلطنتی']",سلطنتی»
تیم رئال مادرید برای کجاست؟,باشگاه فوتبال رئال مادرید یک باشگاه حرفه‌ای فوتبال است که در مادرید، پایتخت اسپانیا قرار دارد. رئال موفق‌ترین تیم تاریخ فوتبال اسپانیا و موفق‌ترین تیم تاریخ فوتبال اروپا و موفق‌ترین تیم فوتبال سدهٔ ۲۰ میلادی به انتخاب فیفا است. آن‌ها دارای رکورد ۳۴ بار قهرمانی در لالیگا، ۱۹ قهرمانی در کوپا دل ری (جام حذفی)، ۱۰ سوپرکاپ اسپانیا، ۱۳ قهرمانی در لیگ قهرمانان اروپا، ۲ جام یوفا، ۴ سوپرکاپ اروپا و ۴ قهرمانی در جام باشگاه‌های جهان هستند. رئال مادرید رکورددار قهرمانی در لیگ قهرمانان اروپا با ۱۳ قهرمانی و جام باشگاه های جهان با ۴ قهرمانی است. همچنین رئال مادرید برنده بهترین باشگاه قرن از سوی فیفا شده‌است. همچنین کلمهٔ رئال در زبان اسپانیایی، به معنی «سلطنتی» است، این لقب را شاه آلفونسو سیزدهم در سال ۱۹۲۰ بر این تیم نهاد. همچنین در همان سال، شکل یک تاج نیز بر روی آرم این باشگاه قرار گرفت. رئال مادرید سال‌هاست که در لالیگا، از تیم‌های قدرتمند محسوب می‌شود و رقیب اصلی این تیم نیز، بارسلونا است. از نظر درآمد، رئال مادرید با ۵۵۷ میلیون یورو درآمد در فصل ۱۵–۲۰۱۴ در صدر پردرآمدترین باشگاه‌های فوتبال جهان بوده‌است.,"['مادرید، پایتخت اسپانیا', 'اسپانیا']",در مادرید، پایتخت اسپانیا
لقب باشگاه رئال مادرید از کجا میاد؟,باشگاه فوتبال رئال مادرید یک باشگاه حرفه‌ای فوتبال است که در مادرید، پایتخت اسپانیا قرار دارد. رئال موفق‌ترین تیم تاریخ فوتبال اسپانیا و موفق‌ترین تیم تاریخ فوتبال اروپا و موفق‌ترین تیم فوتبال سدهٔ ۲۰ میلادی به انتخاب فیفا است. آن‌ها دارای رکورد ۳۴ بار قهرمانی در لالیگا، ۱۹ قهرمانی در کوپا دل ری (جام حذفی)، ۱۰ سوپرکاپ اسپانیا، ۱۳ قهرمانی در لیگ قهرمانان اروپا، ۲ جام یوفا، ۴ سوپرکاپ اروپا و ۴ قهرمانی در جام باشگاه‌های جهان هستند. رئال مادرید رکورددار قهرمانی در لیگ قهرمانان اروپا با ۱۳ قهرمانی و جام باشگاه های جهان با ۴ قهرمانی است. همچنین رئال مادرید برنده بهترین باشگاه قرن از سوی فیفا شده‌است. همچنین کلمهٔ رئال در زبان اسپانیایی، به معنی «سلطنتی» است، این لقب را شاه آلفونسو سیزدهم در سال ۱۹۲۰ بر این تیم نهاد. همچنین در همان سال، شکل یک تاج نیز بر روی آرم این باشگاه قرار گرفت. رئال مادرید سال‌هاست که در لالیگا، از تیم‌های قدرتمند محسوب می‌شود و رقیب اصلی این تیم نیز، بارسلونا است. از نظر درآمد، رئال مادرید با ۵۵۷ میلیون یورو درآمد در فصل ۱۵–۲۰۱۴ در صدر پردرآمدترین باشگاه‌های فوتبال جهان بوده‌است.,"['شاه آلفونسو سیزدهم در سال ۱۹۲۰ بر این تیم نهاد', 'شاه آلفونسو سیزدهم']",شاه آلفونسو
تیم بارسلونا برای کدام کشور است؟,باشگاه فوتبال بارسلونا که بیشتر بارسلونا یا به صورت مخفف بارسا شناخته می‌شود، یک باشگاه فوتبال حرفه‌ای اسپانیایی است که در شهر بارسلون در منطقهٔ کاتالونیای اسپانیا قرار دارد. بارسلونا باشگاهی ورزشی-اجتماعی با هزاران عضو بوده که تیم فوتبال بارسلونا بخشی از آن می‌باشد. تیم این باشگاه در لالیگا بازی می‌کند و جزو سه تیمی است که هرگز به دستهٔ پایین‌تر سقوط نکرده‌است. شهرت تاریخی تیم این باشگاه به‌دلیل شیوه حمله‌ای ماهرانه و جذابش بوده که تأکیدش را بر بازی باز قرار می‌دهد. این باشگاه با نام باشگاه فوتبال بارسلونا در سال ۱۸۹۹ توسط عده‌ای سوئیسی، انگلیسی و اسپانیایی و به رهبری خوان گمپر تأسیس شد. بارسا به نوعی، نهادی برای ترویج فرهنگ کاتالان و کاتالانیسم است و از این رو عبارت «فراتر از یک باشگاه» را به عنوان شعار خود انتخاب کرده‌است. سرود رسمی باشگاه، اثر جوزپ ماریا اسپیناس است که El Cant del Barça نام دارد. برخلاف بسیاری از تیم‌های جهان این باشگاه توسط هوادارانش اداره می‌شود. باشگاه بارسلونا با درآمد ۳۶۶ میلیون یورو در سال، دومین باشگاه ثروتمند جهان است.,"['اسپانیا', 'اسپانیا']",اسپانیایی
شهر بارسلون در کجای کشور اسپانیا واقع شده؟,باشگاه فوتبال بارسلونا که بیشتر بارسلونا یا به صورت مخفف بارسا شناخته می‌شود، یک باشگاه فوتبال حرفه‌ای اسپانیایی است که در شهر بارسلون در منطقهٔ کاتالونیای اسپانیا قرار دارد. بارسلونا باشگاهی ورزشی-اجتماعی با هزاران عضو بوده که تیم فوتبال بارسلونا بخشی از آن می‌باشد. تیم این باشگاه در لالیگا بازی می‌کند و جزو سه تیمی است که هرگز به دستهٔ پایین‌تر سقوط نکرده‌است. شهرت تاریخی تیم این باشگاه به‌دلیل شیوه حمله‌ای ماهرانه و جذابش بوده که تأکیدش را بر بازی باز قرار می‌دهد. این باشگاه با نام باشگاه فوتبال بارسلونا در سال ۱۸۹۹ توسط عده‌ای سوئیسی، انگلیسی و اسپانیایی و به رهبری خوان گمپر تأسیس شد. بارسا به نوعی، نهادی برای ترویج فرهنگ کاتالان و کاتالانیسم است و از این رو عبارت «فراتر از یک باشگاه» را به عنوان شعار خود انتخاب کرده‌است. سرود رسمی باشگاه، اثر جوزپ ماریا اسپیناس است که El Cant del Barça نام دارد. برخلاف بسیاری از تیم‌های جهان این باشگاه توسط هوادارانش اداره می‌شود. باشگاه بارسلونا با درآمد ۳۶۶ میلیون یورو در سال، دومین باشگاه ثروتمند جهان است.,"['منطقهٔ کاتالونیای', 'کاتالونیا']",در منطقهٔ کاتالونیای اسپانیا
چرا شعار تیم بارسا فراتر از یک باشگاه است؟,باشگاه فوتبال بارسلونا که بیشتر بارسلونا یا به صورت مخفف بارسا شناخته می‌شود، یک باشگاه فوتبال حرفه‌ای اسپانیایی است که در شهر بارسلون در منطقهٔ کاتالونیای اسپانیا قرار دارد. بارسلونا باشگاهی ورزشی-اجتماعی با هزاران عضو بوده که تیم فوتبال بارسلونا بخشی از آن می‌باشد. تیم این باشگاه در لالیگا بازی می‌کند و جزو سه تیمی است که هرگز به دستهٔ پایین‌تر سقوط نکرده‌است. شهرت تاریخی تیم این باشگاه به‌دلیل شیوه حمله‌ای ماهرانه و جذابش بوده که تأکیدش را بر بازی باز قرار می‌دهد. این باشگاه با نام باشگاه فوتبال بارسلونا در سال ۱۸۹۹ توسط عده‌ای سوئیسی، انگلیسی و اسپانیایی و به رهبری خوان گمپر تأسیس شد. بارسا به نوعی، نهادی برای ترویج فرهنگ کاتالان و کاتالانیسم است و از این رو عبارت «فراتر از یک باشگاه» را به عنوان شعار خود انتخاب کرده‌است. سرود رسمی باشگاه، اثر جوزپ ماریا اسپیناس است که El Cant del Barça نام دارد. برخلاف بسیاری از تیم‌های جهان این باشگاه توسط هوادارانش اداره می‌شود. باشگاه بارسلونا با درآمد ۳۶۶ میلیون یورو در سال، دومین باشگاه ثروتمند جهان است.,"['به نوعی، نهادی برای ترویج فرهنگ کاتالان و کاتالانیسم', 'نهادی برای ترویج فرهنگ کاتالان و کاتالانیسم']",نهادی برای ترویج فرهنگ کاتالان و کاتالانیسم است
تیم بارسا به چه صورت اداره می شود؟,باشگاه فوتبال بارسلونا که بیشتر بارسلونا یا به صورت مخفف بارسا شناخته می‌شود، یک باشگاه فوتبال حرفه‌ای اسپانیایی است که در شهر بارسلون در منطقهٔ کاتالونیای اسپانیا قرار دارد. بارسلونا باشگاهی ورزشی-اجتماعی با هزاران عضو بوده که تیم فوتبال بارسلونا بخشی از آن می‌باشد. تیم این باشگاه در لالیگا بازی می‌کند و جزو سه تیمی است که هرگز به دستهٔ پایین‌تر سقوط نکرده‌است. شهرت تاریخی تیم این باشگاه به‌دلیل شیوه حمله‌ای ماهرانه و جذابش بوده که تأکیدش را بر بازی باز قرار می‌دهد. این باشگاه با نام باشگاه فوتبال بارسلونا در سال ۱۸۹۹ توسط عده‌ای سوئیسی، انگلیسی و اسپانیایی و به رهبری خوان گمپر تأسیس شد. بارسا به نوعی، نهادی برای ترویج فرهنگ کاتالان و کاتالانیسم است و از این رو عبارت «فراتر از یک باشگاه» را به عنوان شعار خود انتخاب کرده‌است. سرود رسمی باشگاه، اثر جوزپ ماریا اسپیناس است که El Cant del Barça نام دارد. برخلاف بسیاری از تیم‌های جهان این باشگاه توسط هوادارانش اداره می‌شود. باشگاه بارسلونا با درآمد ۳۶۶ میلیون یورو در سال، دومین باشگاه ثروتمند جهان است.,"['توسط هوادارانش', 'باشگاه توسط هوادارانش اداره می\u200cشود']",توسط هوادارانش اداره می‌شود
در خانواده مجیدی به جز فرهاد چه کسی فوتبالیست بوده؟,فرهاد مجیدی قادیکلایی مشهور به فرهاد مجیدی بازیکن فوتبال اهل ایران است. مجیدی در ۴۵ بازی ملی ۱۰ گل به ثمر رسانده‌است. او همچنین سابقه بازی در باشگاه‌های صنایع پارچین، کشاورز، بهمن کرج، استقلال و راپید وین اتریش را در کارنامه دارد. مجیدی ۷ سال سابقه حضور در لیگ امارات با تیم‌های الوصل، العین، الاهلی و النصر را دارد و یک سال نیز در تیم الغرافه قطر بازی کرده‌است. مجیدی در ۷ آبان ۱۳۹۲ در باشگاه استقلال تهران از دنیای فوتبال به عنوان بازیکن خداحافظی کرد. وی از خانواده‌ای مازندرانی و قائم‌شهری است ولی متولد و ساکن تهران است. وی یک برادر و ۲ خواهر دارد که به غیر از فرهاد، برادرش فرزاد نیز به فوتبال روی آورد. همسر وی، فرناز مؤمنی نام دارد و دارای دو فرزند به نام‌های تیام و امیر بردیا می‌باشد. فرهاد مجیدی دوران فوتبال خود را با تیم فوتبال صنایع پارچین که محل زندگی خود و کار پدرش در آنجا بود شروع کرد. نخستین تیم رسمی که فرهاد مجیدی در آن بازی کرد، تیم جوانان کشاورز بود. او بعد از مدتی بازی در این تیم به جوانان بهمن پیوست.,"['برادرش فرزاد', 'فرزاد']",مازندرانی و قائم‌شهری است
