question	context	true_answers	predicted_answer		
?????? ??????? ??????	"?????? ?????? ???? ?????? ?? ?????? ??????? ?????? ??? ?? ?? ??????? ?????? ??????? ???? ????. ???? ????????? ??? ????? ?????? ??????? ? ????????? ??? ????? ?????? ????? ? ????????? ??? ?????? ???? ?? ?????? ?? ?????? ???? ???. ????? ????? ????? ?? ??? ??????? ?? ??????? ?? ??????? ?? ???? ?? ?? (??? ????)? ?? ??????? ???????? ?? ??????? ?? ??? ???????? ?????? ? ??? ????? ? ??????? ????? ? ? ??????? ?? ??? ?????????? ???? ?????. ???? ?????? ???????? ??????? ?? ??? ???????? ????? ?? ?? ??????? ? ??? ?????? ??? ???? ?? ? ??????? ???. ?????? ???? ?????? ????? ?????? ?????? ??? ?? ??? ???? ???????. ?????? ????? ???? ?? ???? ?????????? ?? ???? «??????» ???? ??? ??? ?? ??? ??????? ?????? ?? ??? ???? ?? ??? ??? ????. ?????? ?? ???? ???? ??? ?? ??? ??? ?? ??? ??? ??? ?????? ???? ????. ???? ?????? ???????? ?? ?? ??????? ?? ??????? ??????? ????? ?????? ? ???? ???? ??? ??? ???? ???????? ???. ?? ??? ?????? ???? ?????? ?? ??? ?????? ???? ????? ?? ??? ??–???? ?? ??? ??????????? ?????????? ?????? ???? ????????."	"['??????', '??????']"	" ???????"	????? ?????	??????
???? ???? ???? ?? ????????? ?????	"?????? ?????? ???? ?????? ?? ?????? ??????? ?????? ??? ?? ?? ??????? ?????? ??????? ???? ????. ???? ????????? ??? ????? ?????? ??????? ? ????????? ??? ????? ?????? ????? ? ????????? ??? ?????? ???? ?? ?????? ?? ?????? ???? ???. ????? ????? ????? ?? ??? ??????? ?? ??????? ?? ??????? ?? ???? ?? ?? (??? ????)? ?? ??????? ???????? ?? ??????? ?? ??? ???????? ?????? ? ??? ????? ? ??????? ????? ? ? ??????? ?? ??? ?????????? ???? ?????. ???? ?????? ???????? ??????? ?? ??? ???????? ????? ?? ?? ??????? ? ??? ?????? ??? ???? ?? ? ??????? ???. ?????? ???? ?????? ????? ?????? ?????? ??? ?? ??? ???? ???????. ?????? ????? ???? ?? ???? ?????????? ?? ???? «??????» ???? ??? ??? ?? ??? ??????? ?????? ?? ??? ???? ?? ??? ??? ????. ?????? ?? ???? ???? ??? ?? ??? ??? ?? ??? ??? ??? ?????? ???? ????. ???? ?????? ???????? ?? ?? ??????? ?? ??????? ??????? ????? ?????? ? ???? ???? ??? ??? ???? ???????? ???. ?? ??? ?????? ???? ?????? ?? ??? ?????? ???? ????? ?? ??? ??–???? ?? ??? ??????????? ?????????? ?????? ???? ????????."	"['??????', '??????']"	 «??????»	?????? ?????	??????
??? ???? ?????? ???? ??????	"?????? ?????? ???? ?????? ?? ?????? ??????? ?????? ??? ?? ?? ??????? ?????? ??????? ???? ????. ???? ????????? ??? ????? ?????? ??????? ? ????????? ??? ????? ?????? ????? ? ????????? ??? ?????? ???? ?? ?????? ?? ?????? ???? ???. ????? ????? ????? ?? ??? ??????? ?? ??????? ?? ??????? ?? ???? ?? ?? (??? ????)? ?? ??????? ???????? ?? ??????? ?? ??? ???????? ?????? ? ??? ????? ? ??????? ????? ? ? ??????? ?? ??? ?????????? ???? ?????. ???? ?????? ???????? ??????? ?? ??? ???????? ????? ?? ?? ??????? ? ??? ?????? ??? ???? ?? ? ??????? ???. ?????? ???? ?????? ????? ?????? ?????? ??? ?? ??? ???? ???????. ?????? ????? ???? ?? ???? ?????????? ?? ???? «??????» ???? ??? ??? ?? ??? ??????? ?????? ?? ??? ???? ?? ??? ??? ????. ?????? ?? ???? ???? ??? ?? ??? ??? ?? ??? ??? ??? ?????? ???? ????. ???? ?????? ???????? ?? ?? ??????? ?? ??????? ??????? ????? ?????? ? ???? ???? ??? ??? ???? ???????? ???. ?? ??? ?????? ???? ?????? ?? ??? ?????? ???? ????? ?? ??? ??–???? ?? ??? ??????????? ?????????? ?????? ???? ????????."	"['??????? ?????? ???????', '???????']"	" ?? ??????? ?????? ???????"		
??? ???????? ???? ???? ???? ????	"?????? ?????? ???????? ?? ????? ???????? ?? ?? ???? ???? ????? ?????? ??????? ?? ?????? ?????? ??????? ????????? ??? ?? ?? ??? ??????? ?? ?????? ?????????? ??????? ???? ????. ???????? ??????? ?????-??????? ?? ?????? ??? ???? ?? ??? ?????? ???????? ???? ?? ?? ???????. ??? ??? ?????? ?? ?????? ???? ?????? ? ??? ?? ???? ??? ?? ???? ?? ????? ???????? ???? ?????????. ???? ?????? ??? ??? ?????? ??????? ???? ??????? ??????? ? ????? ???? ?? ?????? ?? ?? ???? ??? ???? ??????. ??? ?????? ?? ??? ?????? ?????? ???????? ?? ??? ???? ???? ?????? ??????? ??????? ? ????????? ? ?? ????? ???? ???? ????? ??. ????? ?? ????? ????? ???? ????? ????? ??????? ? ?????????? ??? ? ?? ??? ?? ????? «????? ?? ?? ??????» ?? ?? ????? ???? ??? ?????? ????????. ???? ???? ??????? ??? ???? ????? ??????? ??? ?? El Cant del Barça ??? ????. ?????? ?????? ?? ??????? ???? ??? ?????? ???? ????????? ????? ??????. ?????? ???????? ?? ????? ??? ?????? ???? ?? ???? ????? ?????? ??????? ???? ???."	"['???????', '???????']"	 ?????????	??? ????? ???? ? ????	???? ? ????
??? ??????? ?? ???? ???? ??????? ???? ????	"?????? ?????? ???????? ?? ????? ???????? ?? ?? ???? ???? ????? ?????? ??????? ?? ?????? ?????? ??????? ????????? ??? ?? ?? ??? ??????? ?? ?????? ?????????? ??????? ???? ????. ???????? ??????? ?????-??????? ?? ?????? ??? ???? ?? ??? ?????? ???????? ???? ?? ?? ???????. ??? ??? ?????? ?? ?????? ???? ?????? ? ??? ?? ???? ??? ?? ???? ?? ????? ???????? ???? ?????????. ???? ?????? ??? ??? ?????? ??????? ???? ??????? ??????? ? ????? ???? ?? ?????? ?? ?? ???? ??? ???? ??????. ??? ?????? ?? ??? ?????? ?????? ???????? ?? ??? ???? ???? ?????? ??????? ??????? ? ????????? ? ?? ????? ???? ???? ????? ??. ????? ?? ????? ????? ???? ????? ????? ??????? ? ?????????? ??? ? ?? ??? ?? ????? «????? ?? ?? ??????» ?? ?? ????? ???? ??? ?????? ????????. ???? ???? ??????? ??? ???? ????? ??????? ??? ?? El Cant del Barça ??? ????. ?????? ?????? ?? ??????? ???? ??? ?????? ???? ????????? ????? ??????. ?????? ???????? ?? ????? ??? ?????? ???? ?? ???? ????? ?????? ??????? ???? ???."	"['?????? ??????????', '?????????']"	 ?????? ?????????? ???????	??????? ????? ???	
??? ???? ??? ????? ????? ?? ?? ?????? ????	"?????? ?????? ???????? ?? ????? ???????? ?? ?? ???? ???? ????? ?????? ??????? ?? ?????? ?????? ??????? ????????? ??? ?? ?? ??? ??????? ?? ?????? ?????????? ??????? ???? ????. ???????? ??????? ?????-??????? ?? ?????? ??? ???? ?? ??? ?????? ???????? ???? ?? ?? ???????. ??? ??? ?????? ?? ?????? ???? ?????? ? ??? ?? ???? ??? ?? ???? ?? ????? ???????? ???? ?????????. ???? ?????? ??? ??? ?????? ??????? ???? ??????? ??????? ? ????? ???? ?? ?????? ?? ?? ???? ??? ???? ??????. ??? ?????? ?? ??? ?????? ?????? ???????? ?? ??? ???? ???? ?????? ??????? ??????? ? ????????? ? ?? ????? ???? ???? ????? ??. ????? ?? ????? ????? ???? ????? ????? ??????? ? ?????????? ??? ? ?? ??? ?? ????? «????? ?? ?? ??????» ?? ?? ????? ???? ??? ?????? ????????. ???? ???? ??????? ??? ???? ????? ??????? ??? ?? El Cant del Barça ??? ????. ?????? ?????? ?? ??????? ???? ??? ?????? ???? ????????? ????? ??????. ?????? ???????? ?? ????? ??? ?????? ???? ?? ???? ????? ?????? ??????? ???? ???."	"['?? ????? ????? ???? ????? ????? ??????? ? ??????????', '????? ???? ????? ????? ??????? ? ??????????']"	 ????? ???? ????? ????? ??????? ? ?????????? ???	???? ?????	
????? ???? ?? ?????? ????????  ??? ?? ?? ???? ????	"????? ????? ????????? ????? ?? ????? ????? ?????? ?????? ??? ????? ???. ????? ?? ?? ???? ??? ?? ?? ?? ??? ??????????. ?? ?????? ????? ???? ?? ?????????? ????? ??????? ??????? ???? ???? ??????? ? ????? ??? ????? ?? ?? ??????? ????. ????? ? ??? ????? ???? ?? ??? ?????? ?? ??????? ?????? ?????? ?????? ? ????? ?? ???? ? ?? ??? ??? ?? ??? ??????? ??? ???? ????????. ????? ?? ? ???? ???? ?? ?????? ??????? ????? ?? ????? ?????? ?? ????? ?????? ???????? ???. ?? ?? ?????????? ????????? ? ????????? ??? ??? ????? ? ???? ????? ???. ?? ?? ????? ? ? ????? ???? ?? ?? ??? ?? ?????? ?????? ????? ??? ?? ?????? ??? ????. ???? ??? ????? ????? ??? ???? ? ????? ?? ????? ?? ??????? ???? ? ???? ????? ???????. ????? ????? ????? ?????? ??? ?? ?? ??? ?????? ????? ?????? ?? ??? ????? ??? ? ??? ???? ?? ???? ??? ???? ???. ?????? ??? ???? ?? ????? ????? ?? ?? ???? ???? ??? ?????? ?????? ???. ?? ??? ?? ???? ???? ?? ??? ??? ?? ?????? ???? ?????."	"['?????? ??????? ?????', '??????? ?????']"	 ???????		
????? ????? ?? ??? ?? ???? ???? ????	"????? ????? ????????? ????? ?? ????? ????? ?????? ?????? ??? ????? ???. ????? ?? ?? ???? ??? ?? ?? ?? ??? ??????????. ?? ?????? ????? ???? ?? ?????????? ????? ??????? ??????? ???? ???? ??????? ? ????? ??? ????? ?? ?? ??????? ????. ????? ? ??? ????? ???? ?? ??? ?????? ?? ??????? ?????? ?????? ?????? ? ????? ?? ???? ? ?? ??? ??? ?? ??? ??????? ??? ???? ????????. ????? ?? ? ???? ???? ?? ?????? ??????? ????? ?? ????? ?????? ?? ????? ?????? ???????? ???. ?? ?? ?????????? ????????? ? ????????? ??? ??? ????? ? ???? ????? ???. ?? ?? ????? ? ? ????? ???? ?? ?? ??? ?? ?????? ?????? ????? ??? ?? ?????? ??? ????. ???? ??? ????? ????? ??? ???? ? ????? ?? ????? ?? ??????? ???? ? ???? ????? ???????. ????? ????? ????? ?????? ??? ?? ?? ??? ?????? ????? ?????? ?? ??? ????? ??? ? ??? ???? ?? ???? ??? ???? ???. ?????? ??? ???? ?? ????? ????? ?? ?? ???? ???? ??? ?????? ?????? ???. ?? ??? ?? ???? ???? ?? ??? ??? ?? ?????? ???? ?????."	"['?????', '?????']"	 ????????? ? ?????????		
?????? ?? ?????? ????? ??? ?? ????? ????? ????? ??? ?????? ????	"??????? ????????? ????? ???? ????? ? ????? ??????? ??? ?? ??? ??? ?? ?? ??? ????? ?? ??????? ????????? ???????? ????? ???. ?? ?? ??? ???????? ??????? ?? ?? ??? ???? ? ????? ?? ???? ????? ?? ????? ?? ??????. ?????? ????????? ????? ?? ??? ??? «??????????» ??? ?????? ?? ???????? ?????? ???? ????? ?? ????? ???? ? ?? ????? ????? ??????????. ?? ????? ?? ?? ??????? ????? ???? ???? ????? ? ????? ??? ??? ?? ??? ???? ?? ?? ???? ????? ?? ????? ????? ??? ?????? ?? ? ????????? ??? ?? ???? ?? ?? ?? ??? ?????? ?? ??? ???? ??? ????????. ?? ??? ?? ?? ?? ????? ?????????? ????? ??? ??? ????? ?? ???? ?? ?? ?? ??? ?????? ????? ?????????. ???? ????? ?????? ?? ?? ?? ????? ??? ?? ????????? ?????? ????? ???? ???????. ????? ?????? ?? ??????? ?? ????? ?? ????? ???????? ???? ??????? ??? ?? ?? ???????? ????? ? ?? ????? ??? ????????? ???????? ?? ?? ??? ????? ???. ??? ??????????? ????? ??? ?????? ?? ?????? ????????? ???? ???? ?????? ????????? ????? ??????? ?? ?????? ?????? ????? ??? ??? ?? ?? ? ????? ?????? ????? ?????."	"['???? ?????? ????????? ????? ??????? ?? ?????? ?????? ????? ??? ??? ?? ?? ? ????? ??????', '?????? ????????? ????? ??????? ?? ?????? ?????? ????? ??? ??? ?? ?? ? ????? ??????']"	 ??????		
